100m_u-component_of_wind,100u
100m_v-component_of_wind,100v
10m_u-component_of_neutral_wind,u10n
10m_u_component_of_wind,10u
10m_v-component_of_neutral_wind,v10n
10m_v_component_of_wind,10v
10m_wind_gust_since_previous_post_processing,10fg
10m_wind_gust_since_previous_post_processing,10fg
10m wind speed,10si
2m_dewpoint_temperature,d2m
2m_temperature,t2m
air_density_over_the_oceans,rhoao
angle_of_sub_gridscale_orography,anor
anisotropy_of_sub_gridscale_orography,isor
boundary_layer_dissipation,bld
boundary_layer_height,blh
charnock,chnk
clear_sky_direct_solar_radiation_at_surface,cdir
cloud_base_height,cbh
coefficient_of_drag_with_waves,cdww
convective_available_potential_energy,cape
convective_inhibition,cin
convective_precipitation,cp
convective_rain_rate,crr
convective_snowfall,csf
convective_snowfall_rate_water_equivalent,csfr
divergence,d
downward_uv_radiation_at_the_surface,uvb
duct_base_height,dctb
eastward_gravity_wave_surface_stress,lgws
eastward_turbulent_surface_stress,ewss
evaporation,e
forecast_albedo,fal
forecast_logarithm_of_surface_roughness_for_heat,flsr
forecast_surface_roughness,fsr
fraction_of_cloud_cover,cc
free_convective_velocity_over_the_oceans,wstar
friction_velocity,zust
geopotential,z
geopotential,z
gravity_wave_dissipation,gwd
high_cloud_cover,hcc
high_vegetation_cover,cvh
ice_temperature_layer_1,istl1
ice_temperature_layer_2,istl2
ice_temperature_layer_3,istl3
ice_temperature_layer_4,istl4
instantaneous_10m_wind_gust,i10fg
instantaneous_eastward_turbulent_surface_stress,iews
instantaneous_large_scale_surface_precipitation_fraction,ilspf
instantaneous_moisture_flux,ie
instantaneous_northward_turbulent_surface_stress,inss
instantaneous_surface_sensible_heat_flux,ishf
k_index,kx
lake_bottom_temperature,lblt
lake_cover,cl
lake_depth,dl
lake_ice_depth,licd
lake_ice_temperature,lict
lake_mix_layer_depth,lmld
lake_mix_layer_temperature,lmlt
lake_shape_factor,lshf
lake_total_layer_temperature,ltlt
land_sea_mask,lsm
large_scale_precipitation_fraction,lspf
large_scale_precipitation,lsp
large_scale_rain_rate,lsrr
large_scale_snowfall,lsf
large_scale_snowfall_rate_water_equivalent,lssfr
leaf_area_index_high_vegetation,lai_hv
leaf_area_index_low_vegetation,lai_lv
low_cloud_cover,lcc
low_vegetation_cover,cvl
magnitude of turbulent surface stress,magss
maximum_2m_temperature_since_previous_post_processing,mx2t
maximum_2m_temperature_since_previous_post_processing,mx2t
maximum_individual_wave_height,hmax
maximum_total_precipitation_rate_since_previous_post_processing,mxtpr
maximum_total_precipitation_rate_since_previous_post_processing,mxtpr
mean_boundary_layer_dissipation,mbld
mean_convective_precipitation_rate,mcpr
mean_convective_snowfall_rate,mcsr
mean_direction_of_total_swell,mdts
